month,oracle_date,oracle_open,oracle_adjusted_open,oracle_trading_day,days_in_month
2013-12,2013-12-06,57.05,9.837036053872504,5,22
2014-01,2014-01-10,57.5,9.914628801010858,7,18
2014-02,2014-02-06,55.95,9.647364894201,2,17
2014-03,2014-03-03,57.8,9.966357299103084,1,21
2014-04,2014-04-01,60.25,10.388806700189631,1,21
2014-05,2014-05-02,61.15,10.543992194466323,1,21
2014-06,2014-06-03,63.15,10.888848848414526,1,20
2014-07,2014-07-01,65.95,11.371648163942012,1,22
2014-08,2014-08-06,65.3,11.25956975140884,4,21
2014-09,2014-09-30,65.3,11.259569751408849,21,21
2014-10,2014-10-16,63.65,10.97506301190158,11,22
2014-11,2014-11-07,65.0,11.483371054151522,5,20
2014-12,2014-12-18,63.95,11.297870444815237,14,24
2015-01,2015-01-07,64.7,11.43037088005544,3,20
2015-02,2015-02-02,68.2,12.048706244509756,1,13
2015-03,2015-03-11,68.35,12.075206331557798,8,22
2015-04,2015-04-01,68.7,12.137039868003228,1,20
2015-05,2015-05-18,70.05,12.375540651435609,11,20
2015-06,2015-06-17,68.2,12.04870624450976,13,21
2015-07,2015-07-30,65.6,11.589371402343698,21,22
2015-08,2015-08-25,57.5,10.158366701749436,17,21
2015-09,2015-09-02,61.1,10.794368790902446,2,20
2015-10,2015-10-01,62.6,11.059369661382874,1,21
2015-11,2015-11-30,60.9,11.092390425672532,21,21
2015-12,2015-12-14,59.25,10.791857680149384,10,23
2016-01,2016-01-18,55.9,10.181685136208449,11,21
2016-02,2016-02-15,58.3,10.618823675151209,4,13
2016-03,2016-03-01,61.25,11.15613979593502,1,23
2016-04,2016-04-08,61.8,11.256317377776062,4,19
2016-05,2016-05-16,59.15,10.7736435743601,10,21
2016-06,2016-06-01,62.95,11.465779594352808,1,21
2016-07,2016-07-07,65.45,11.921132239084852,5,20
2016-08,2016-08-03,68.5,12.630249186813764,3,23
2016-09,2016-09-14,68.5,12.63024918681376,11,19
2016-10,2016-10-03,71.2,13.128083826294011,1,20
2016-11,2016-11-15,69.8,12.869947346563512,11,22
2016-12,2016-12-23,70.6,13.017453906409512,17,22
2017-01,2017-01-03,71.7,13.220275426197768,1,16
2017-02,2017-02-03,72.95,13.450754425957149,2,18
2017-03,2017-03-10,71.95,13.58069639805842,8,23
2017-04,2017-04-20,72.55,13.693947514650985,12,18
2017-05,2017-05-02,75.0,14.15638957407062,1,20
2017-06,2017-06-01,76.5,14.439517365552035,1,23
2017-07,2017-07-10,80.0,15.100148879008664,6,21
2017-08,2017-08-11,80.85,15.391902178089609,9,23
2017-09,2017-09-29,80.45,15.315751765334682,21,22
2017-10,2017-10-02,81.25,15.468052590844536,1,19
2017-11,2017-11-30,83.0,15.80121064664734,22,22
2017-12,2017-12-27,80.6,15.344308170117776,19,21
2018-01,2018-01-02,82.15,15.639391019543115,1,22
2018-02,2018-02-09,78.6,15.348358250515613,7,13
2018-03,2018-03-02,80.85,15.787719650816634,2,23
2018-04,2018-04-25,79.25,15.47528487726924,15,18
2018-05,2018-05-04,78.55,15.338594663842256,3,22
2018-06,2018-06-28,80.05,15.631502264042934,19,20
2018-07,2018-07-06,81.1,15.836537584183406,5,22
2018-08,2018-08-16,83.25,16.39096034180356,12,23
2018-09,2018-09-18,85.6,16.853648111211818,12,19
2018-10,2018-10-25,75.5,14.865075144818835,18,22
2018-11,2018-11-21,75.3,14.825697462316011,15,22
2018-12,2018-12-26,74.0,14.569742526047609,19,21
2019-01,2019-01-04,72.8,14.333476431030617,3,21
2019-02,2019-02-15,75.3,15.286185026979435,5,13
2019-03,2019-03-11,75.85,15.397837108849805,6,20
2019-04,2019-04-01,80.0,16.240302817508038,1,20
2019-05,2019-05-29,76.5,15.529789569242062,20,22
2019-06,2019-06-06,77.7,15.773394111504684,4,19
2019-07,2019-07-09,81.75,16.59555944164104,7,23
2019-08,2019-08-06,78.65,16.100902808609877,4,21
2019-09,2019-09-04,81.45,16.674107231548305,3,19
2019-10,2019-10-03,84.4,17.278019034287006,3,21
2019-11,2019-11-01,90.0,18.424427880163865,1,21
2019-12,2019-12-03,91.7,18.772444851233622,2,22
2020-01,2020-01-31,90.65,19.155789248869983,15,15
2020-02,2020-02-03,88.5,18.701459994759997,1,19
2020-03,2020-03-19,71.0,15.003431182236833,14,22
2020-04,2020-04-01,76.5,16.165668809029825,1,20
2020-05,2020-05-04,82.4,17.41243280868049,1,20
2020-06,2020-06-01,84.45,17.845630469576065,1,20
2020-07,2020-07-01,89.95,19.00786809636905,1,23
2020-08,2020-08-21,102.15,21.73901411724104,15,21
2020-09,2020-09-25,100.75,21.44107363986328,19,22
2020-10,2020-10-05,103.45,22.015673131948954,1,19
2020-11,2020-11-02,103.15,21.95182874393944,1,21
2020-12,2020-12-01,113.8,24.21830451827732,1,23
2021-01,2021-01-04,122.2,26.005947382543837,1,20
2021-02,2021-02-01,128.2,27.88823817791309,1,13
2021-03,2021-03-05,130.05,28.29068155255537,4,22
2021-04,2021-04-01,135.7,29.51976537240879,1,19
2021-05,2021-05-17,125.2,27.23562730011482,11,21
2021-06,2021-06-23,135.0,29.367489500922535,16,21
2021-07,2021-07-29,135.85,29.628060426691583,21,22
2021-08,2021-08-20,132.2,28.832017581219198,15,22
2021-09,2021-09-30,136.3,29.726202695311464,20,20
2021-10,2021-10-05,132.0,28.788398795165907,3,20
2021-11,2021-11-01,136.2,29.704393302284824,1,22
2021-12,2021-12-01,138.1,30.118771769791003,1,22
2022-01,2022-01-26,141.15,31.474520236933436,18,18
2022-02,2022-02-25,139.05,31.006248947542293,15,15
2022-03,2022-03-09,132.2,29.47879259881402,7,23
2022-04,2022-04-27,127.0,28.31926369175024,17,19
2022-05,2022-05-13,122.1,27.22663068317089,9,21
2022-06,2022-06-30,117.7,26.245490838732312,21,21
2022-07,2022-07-07,109.45,24.405853630409943,5,21
2022-08,2022-08-03,115.65,26.19484052913842,3,23
2022-09,2022-09-30,103.3,23.397553192044963,21,21
2022-10,2022-10-26,96.85,21.936621748785623,17,20
2022-11,2022-11-04,98.1,22.2197479974793,4,22
2022-12,2022-12-29,109.2,24.733909085879088,21,22
2023-01,2023-01-03,109.6,24.824509485461057,1,13
2023-02,2023-02-22,117.5,27.18715698102224,16,18
2023-03,2023-03-16,117.2,27.11774296319836,12,23
2023-04,2023-04-27,116.05,26.851655894873456,16,17
2023-05,2023-05-15,116.95,27.059897948345125,10,22
2023-06,2023-06-01,125.35,29.00349044741394,1,20
2023-07,2023-07-07,127.55,29.51252657812244,5,21
2023-08,2023-08-17,123.6,29.017037362328736,12,22
2023-09,2023-09-27,121.85,28.606197432036872,19,20
2023-10,2023-10-26,121.85,28.606197432036872,17,20
2023-11,2023-11-01,122.0,28.64141228320476,1,22
2023-12,2023-12-06,130.4,30.61344394860572,4,21
2024-01,2024-01-18,127.9,30.733313515220065,13,22
2024-02,2024-02-01,134.35,32.283195236667844,1,13
2024-03,2024-03-01,143.55,34.4938792424538,1,21
2024-04,2024-04-22,150.4,36.13987765980529,14,20
2024-05,2024-05-02,157.35,37.80990525113274,1,22
2024-06,2024-06-05,167.4,40.22483723571416,3,19
2024-07,2024-07-26,178.05,43.00128713569877,18,21
2024-08,2024-08-05,166.65,40.2480454993777,3,22
2024-09,2024-09-09,170.4,41.15371709027279,6,20
2024-10,2024-10-01,183.9,44.4141348174951,1,19
2024-11,2024-11-29,184.95,44.6677228629457,21,21
2024-12,2024-12-02,188.5,45.52509196899306,1,22
2025-01,2025-01-14,194.7,47.02246899927294,9,15
2025-02,2025-02-03,192.3,47.081635237080576,1,19
2025-03,2025-03-31,173.6,42.503233890573,21,21
2025-04,2025-04-08,151.2,37.01894564662809,4,20
2025-05,2025-05-06,169.95,41.60958870796589,3,20
2025-06,2025-06-03,177.5,43.45808764733123,2,16
2025-07,2025-07-09,48.35,47.35095296334568,7,23
2025-08,2025-08-04,50.65,49.954258241758254,2,21
2025-09,2025-09-03,51.9,51.18708791208792,3,21
2025-10,2025-10-01,57.9,57.10467032967031,1,20
2025-11,2025-11-21,60.1,59.27445054945056,15,20
2025-12,2025-12-02,61.8,60.9510989010989,2,22
2026-01,2026-01-02,66.0,65.0934065934066,1,21
2026-02,2026-02-06,71.4,71.40000000000002,5,12
2026-03,2026-03-09,73.15,73.14999999999998,6,22
2026-04,2026-04-01,75.0,75.00000000000001,1,20
2026-05,2026-05-04,92.5,92.49999999999996,1,20
2026-06,2026-06-08,98.05,98.04999999999995,6,21
